NodeNumber,ClusterLabel
45,0
71,0
112,0
133,0
153,0
47,0
23,0
135,0
147,0
99,0
1,0
25,0
84,0
144,0
92,0
115,0
123,0
124,0
98,0
118,0
102,0
19,0
119,0
130,0
120,0
149,0
57,0
150,0
88,0
2,0
132,0
28,0
4,0
82,0
36,0
7,0
134,0
38,0
113,0
49,0
43,0
21,1
59,1
108,1
3,1
5,1
12,1
129,1
76,1
9,1
20,1
117,1
33,1
17,1
56,1
54,1
131,1
11,1
110,1
85,1
60,1
83,1
140,1
148,1
116,1
89,1
58,1
40,1
125,1
72,1
93,1
104,1
81,1
96,1
141,1
87,1
78,1
63,1
34,2
30,2
64,2
26,2
155,2
103,2
52,2
86,2
138,2
107,2
154,2
156,2
31,2
94,2
15,2
10,2
22,2
80,2
65,2
8,2
46,2
151,2
90,2
109,2
32,2
41,2
51,2
44,2
146,2
136,2
143,2
142,2
100,2
18,2
121,2
61,2
101,2
24,2
77,2
69,2
67,3
97,3
14,3
114,3
139,3
29,3
111,3
128,3
137,3
62,3
75,3
70,3
16,3
106,3
91,3
39,3
42,3
35,3
74,3
48,3
50,3
37,3
73,3
27,3
66,3
126,3
95,3
13,3
152,3
68,3
79,3
6,3
127,3
55,3
105,3
145,3
53,3
122,3
